epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.225,1.34399,1.8679,1.20675,0.73373,0.4562,0.52462,0.38787,1.15223,1.10179,1.05586,1.785e-05,1.785e-05,1.785e-05
2,35.2368,1.3163,1.79178,1.19675,0.75813,0.45548,0.53433,0.39106,1.15504,1.08376,1.05077,3.32379e-05,3.32379e-05,3.32379e-05
3,39.3732,1.23363,1.58652,1.13585,0.73442,0.47465,0.5435,0.39609,1.15761,1.07027,1.04725,4.48559e-05,4.48559e-05,4.48559e-05
4,43.3321,1.24923,1.63675,1.17355,0.70601,0.48743,0.55294,0.4009,1.15465,1.06742,1.04597,5.27039e-05,5.27039e-05,5.27039e-05
5,47.381,1.23719,1.48821,1.15344,0.75609,0.48439,0.5689,0.4123,1.14172,1.05415,1.03661,5.6782e-05,5.6782e-05,5.6782e-05
6,51.3461,1.26202,1.37215,1.14587,0.76201,0.47798,0.56594,0.41236,1.13698,1.05154,1.03339,5.70903e-05,5.70903e-05,5.70903e-05
7,55.3664,1.24546,1.43782,1.15347,0.75092,0.48327,0.56927,0.41744,1.12718,1.04147,1.03041,4.8314e-05,4.8314e-05,4.8314e-05
8,59.2234,1.25024,1.45809,1.14749,0.76224,0.48496,0.58189,0.42735,1.12295,1.02421,1.02782,3.6533e-05,3.6533e-05,3.6533e-05
9,63.28,1.28776,1.32851,1.15125,0.68155,0.53474,0.58904,0.43114,1.1224,1.01499,1.02869,2.4752e-05,2.4752e-05,2.4752e-05
10,67.1585,1.2385,1.29403,1.15425,0.6798,0.54279,0.59008,0.43502,1.12401,1.00499,1.03022,1.2971e-05,1.2971e-05,1.2971e-05
